Quarto;Codigo;Designacao
H001;S;Estúdio superior
H002;S;Estúdio superior
H003;S;Estúdio superior
H004;S;Estúdio superior
H005;S;Estúdio superior
H006;S;Estúdio superior
H007;S;Estúdio superior
H008;S;Estúdio superior
H009;S;Estúdio superior
H010;S;Estúdio superior
H011;U;Estúdio premium
H012;S;Estúdio superior
H013A;W;Estúdio twodio superior
H013B;W;Estúdio twodio superior
H101A;G;Estúdio duplo superior
H101B;G;Estúdio duplo superior
H102A;D;Estúdio duplo standard
H102B;D;Estúdio duplo standard
H103A;Z;Twodio standard com WC partilhado
H103B;Z;Twodio standard com WC partilhado
H104;E;Estúdio standard
H105A;Z;Twodio standard com WC partilhado
H105B;Z;Twodio standard com WC partilhado
H106A;Z;Twodio standard com WC partilhado
H106B;Z;Twodio standard com WC partilhado
H107;E;Estúdio standard
H108;U;Estúdio premium
H109A;D;Estúdio duplo standard
H109B;D;Estúdio duplo standard
H110;S;Estúdio superior
H111;S;Estúdio superior
H112;S;Estúdio superior
H113;S;Estúdio superior
H114;S;Estúdio superior
H115;S;Estúdio superior
H116;S;Estúdio superior
H117;S;Estúdio superior
H118;S;Estúdio superior
H119;S;Estúdio superior
H120;S;Estúdio superior
H121;S;Estúdio superior
H122;S;Estúdio superior
H123;U;Estúdio premium
H124;S;Estúdio superior
H125A;W;Estúdio twodio superior
H125B;W;Estúdio twodio superior
H201A;G;Estúdio duplo superior
H201B;G;Estúdio duplo superior
H202A;T;Twodio standard
H202B;T;Twodio standard
H203A;D;Estúdio duplo standard
H203B;D;Estúdio duplo standard
H204A;Z;Twodio standard com WC partilhado
H204B;Z;Twodio standard com WC partilhado
H205;E;Estúdio standard
H206A;Z;Twodio standard com WC partilhado
H206B;Z;Twodio standard com WC partilhado
H207A;Z;Twodio standard com WC partilhado
H207B;Z;Twodio standard com WC partilhado
H208;E;Estúdio standard
H209;S;Estúdio superior
H210A;D;Estúdio duplo standard
H210B;D;Estúdio duplo standard
H211;S;Estúdio superior
H212;S;Estúdio superior
H213;S;Estúdio superior
H214;S;Estúdio superior
H215;S;Estúdio superior
H216;S;Estúdio superior
H217;S;Estúdio superior
H218;S;Estúdio superior
H219;S;Estúdio superior
H220;S;Estúdio superior
H221;S;Estúdio superior
H222;S;Estúdio superior
H223;S;Estúdio superior
H224;U;Estúdio premium
H225;S;Estúdio superior
H226A;W;Estúdio twodio superior
H226B;W;Estúdio twodio superior
H301A;G;Estúdio duplo superior
H301B;G;Estúdio duplo superior
H302A;T;Twodio standard
H302B;T;Twodio standard
H303A;D;Estúdio duplo standard
H303B;D;Estúdio duplo standard
H304A;Z;Twodio standard com WC partilhado
H304B;Z;Twodio standard com WC partilhado
H305;E;Estúdio standard
H306A;Z;Twodio standard com WC partilhado
H306B;Z;Twodio standard com WC partilhado
H307A;Z;Twodio standard com WC partilhado
H307B;Z;Twodio standard com WC partilhado
H308;E;Estúdio standard
H309;S;Estúdio superior
H310A;D;Estúdio duplo standard
H310B;D;Estúdio duplo standard
H311;S;Estúdio superior
H312;S;Estúdio superior
H313;S;Estúdio superior
H314;S;Estúdio superior
H315;S;Estúdio superior
H316;S;Estúdio superior
H317;S;Estúdio superior
H318;S;Estúdio superior
H319;S;Estúdio superior
H320;S;Estúdio superior
H321;S;Estúdio superior
H322;S;Estúdio superior
H323;U;Estúdio premium
H324;S;Estúdio superior
H325;S;Estúdio superior
H326A;W;Estúdio twodio superior
H326B;W;Estúdio twodio superior
H401A;X;Twodio premium
H401B;X;Twodio premium
H402A;G;Estúdio duplo superior
H402B;G;Estúdio duplo superior
H403;S;Estúdio superior
H404A;D;Estúdio duplo standard
H404B;D;Estúdio duplo standard
H405;S;Estúdio superior
H406;S;Estúdio superior
H407;S;Estúdio superior
H408;S;Estúdio superior
H409;S;Estúdio superior
H410;S;Estúdio superior
H411;S;Estúdio superior
H412;S;Estúdio superior
H413;S;Estúdio superior
H414;S;Estúdio superior
H415;S;Estúdio superior
H416;S;Estúdio superior
H417;S;Estúdio superior
H418;U;Estúdio premium
H419;S;Estúdio superior
H420A;W;Estúdio twodio superior
H420B;W;Estúdio twodio superior
H501;F;Estúdio standard com varanda
H502;V;Estúdio premium com varanda
H503;F;Estúdio standard com varanda
H504;F;Estúdio standard com varanda
H505;F;Estúdio standard com varanda
H506;F;Estúdio standard com varanda
H507;F;Estúdio standard com varanda
H508;F;Estúdio standard com varanda
H509;F;Estúdio standard com varanda
H510A;H;Estúdio duplo standard com varanda
H510B;H;Estúdio duplo standard com varanda
H511A;Y;Twodio standard com varanda
H511B;Y;Twodio standard com varanda
